snapped_at,token,name,tvl,market_cap,price,class
2025-05-13,Shiba Inu,SHIB,61077841482,9297761335.092236,1.575692016678931e-05,Meme
2025-05-12,Shiba Inu,SHIB,62780123532,9366637841.057377,1.58887123947942e-05,Meme
2025-05-11,Shiba Inu,SHIB,63659583748,9964431415.020445,1.6912948403257238e-05,Meme
2025-05-10,Shiba Inu,SHIB,59952189316,8844980814.85537,1.5015653799937137e-05,Meme
2025-05-09,Shiba Inu,SHIB,57638038262,8440423335.6236925,1.432384082212922e-05,Meme
2025-05-08,Shiba Inu,SHIB,50594277530,7544769088.490601,1.2804060472298206e-05,Meme
2025-05-07,Shiba Inu,SHIB,51638990522,7508937589.577711,1.2746692025851018e-05,Meme
2025-05-06,Shiba Inu,SHIB,51620816059,7483956237.058946,1.2701203519522913e-05,Meme
2025-05-05,Shiba Inu,SHIB,52022707507,7451956448.685592,1.2666592220479872e-05,Meme
2025-05-04,Shiba Inu,SHIB,52461648148,7657372984.054508,1.2993896928298788e-05,Meme
2025-05-03,Shiba Inu,SHIB,52538863657,7918473134.388477,1.3437733820696843e-05,Meme
2025-05-02,Shiba Inu,SHIB,52032383156,7950665556.688688,1.34991118175859e-05,Meme
2025-05-01,Shiba Inu,SHIB,51011956500,7803038181.239504,1.3242587223942173e-05,Meme
2025-04-30,Shiba Inu,SHIB,51219824528,7899830947.874831,1.3405970590066774e-05,Meme
2025-04-29,Shiba Inu,SHIB,51436175190,8079725718.18952,1.371757975538185e-05,Meme
2025-04-28,Shiba Inu,SHIB,51303403751,7931494633.205044,1.345872281797722e-05,Meme
2025-04-27,Shiba Inu,SHIB,51602521648,8341963766.509532,1.4162006561556682e-05,Meme
2025-04-26,Shiba Inu,SHIB,51308317318,8336240474.349652,1.4147439377183754e-05,Meme
2025-04-25,Shiba Inu,SHIB,50354447828,8112589889.428356,1.3767782837029544e-05,Meme
2025-04-24,Shiba Inu,SHIB,50225354772,7973385422.610107,1.3539086623202537e-05,Meme
2025-04-23,Shiba Inu,SHIB,49240789479,7973343453.867689,1.3565788200503553e-05,Meme
2025-04-22,Shiba Inu,SHIB,45660638475,7255091635.557946,1.2327016933602889e-05,Meme
2025-04-21,Shiba Inu,SHIB,46502949737,7277802298.714765,1.2349940485017293e-05,Meme
2025-04-20,Shiba Inu,SHIB,46916364075,7277778955.338622,1.2351618027344314e-05,Meme
2025-04-19,Shiba Inu,SHIB,46281491528,7238745329.04086,1.2283347585492172e-05,Meme
2025-04-18,Shiba Inu,SHIB,46491148704,6950401395.449365,1.1793116043980854e-05,Meme
2025-04-17,Shiba Inu,SHIB,46617427356,6979610387.629036,1.1843907082150023e-05,Meme
2025-04-16,Shiba Inu,SHIB,46322076290,6879221088.302764,1.167358433250535e-05,Meme
2025-04-15,Shiba Inu,SHIB,46668229649,7067543164.648463,1.1995910489242668e-05,Meme
2025-04-14,Shiba Inu,SHIB,46572508297,7079095213.931439,1.2031922064858476e-05,Meme
2025-04-13,Shiba Inu,SHIB,46867557882,7386327520.507002,1.2535122203826666e-05,Meme
2025-04-12,Shiba Inu,SHIB,45748785172,7195475354.223224,1.2212373307554956e-05,Meme
2025-04-11,Shiba Inu,SHIB,45327682180,6870768653.776354,1.165241402796812e-05,Meme
2025-04-10,Shiba Inu,SHIB,47743319219,7032686364.250857,1.1932797042260414e-05,Meme
2025-04-09,Shiba Inu,SHIB,44524683415,6270951569.272801,1.0642205473282942e-05,Meme
2025-04-08,Shiba Inu,SHIB,45962547503,6750812664.027207,1.1424414472972747e-05,Meme
2025-04-07,Shiba Inu,SHIB,46135329020,6641664165.18957,1.1278792221279534e-05,Meme
2025-04-06,Shiba Inu,SHIB,50248496300,7271477054.347656,1.2350187150446806e-05,Meme
2025-04-05,Shiba Inu,SHIB,50184865778,7247545859.682792,1.2298070463239544e-05,Meme
2025-04-04,Shiba Inu,SHIB,49904669014,7194838603.344431,1.2210812486559269e-05,Meme
2025-04-03,Shiba Inu,SHIB,49408782143,7116474405.39218,1.2077907889822484e-05,Meme
2025-04-02,Shiba Inu,SHIB,51094055572,7474785925.810972,1.2691439778989097e-05,Meme
2025-04-01,Shiba Inu,SHIB,49570769965,7301191694.658672,1.2390635057577876e-05,Meme
2025-03-31,Shiba Inu,SHIB,48312539453,7327635713.90884,1.243602342493055e-05,Meme
2025-03-30,Shiba Inu,SHIB,49521438703,7460421031.164625,1.270291625466776e-05,Meme
2025-03-29,Shiba Inu,SHIB,50807372217,7804300072.40321,1.32462140755763e-05,Meme
2025-03-28,Shiba Inu,SHIB,53171587690,8274200724.319788,1.4044517268829418e-05,Meme
2025-03-27,Shiba Inu,SHIB,53545424135,8379328507.994286,1.4221391033508155e-05,Meme
2025-03-26,Shiba Inu,SHIB,54357557559,8178922222.026278,1.3880329274646207e-05,Meme
2025-03-25,Shiba Inu,SHIB,53794772454,7941464804.430823,1.348800162100368e-05,Meme
2025-03-24,Shiba Inu,SHIB,52004970303,7621559662.752716,1.2922105813633066e-05,Meme
2025-03-23,Shiba Inu,SHIB,50954422518,7535190175.060344,1.278707468735552e-05,Meme
2025-03-22,Shiba Inu,SHIB,50530386049,7380932519.192244,1.2519691846575462e-05,Meme
2025-03-21,Shiba Inu,SHIB,50638949398,7641363428.850308,1.2954482920674014e-05,Meme
2025-03-20,Shiba Inu,SHIB,52069854359,7635968285.389779,1.2961183289692163e-05,Meme
2025-03-19,Shiba Inu,SHIB,50466297322,7393346004.355788,1.2546060675609051e-05,Meme
2025-03-18,Shiba Inu,SHIB,50391995070,7638854031.660739,1.296574411593026e-05,Meme
2025-03-17,Shiba Inu,SHIB,49729616675,7737628421.525961,1.3132370821439795e-05,Meme
2025-03-16,Shiba Inu,SHIB,50477985397,7561112477.925443,1.2831691418540113e-05,Meme
2025-03-15,Shiba Inu,SHIB,49978749702,7543708324.402336,1.2808661594578358e-05,Meme
2025-03-14,Shiba Inu,SHIB,48694497279,7078205685.409222,1.20115326806431e-05,Meme
2025-03-13,Shiba Inu,SHIB,49241081224,7262607879.263007,1.2333986592517118e-05,Meme
2025-03-12,Shiba Inu,SHIB,49296745585,7103271325.267327,1.2038148674217478e-05,Meme
2025-03-11,Shiba Inu,SHIB,47882785888,6817890442.533274,1.153067141105278e-05,Meme
2025-03-10,Shiba Inu,SHIB,50308490271,6870244888.990196,1.165679097262232e-05,Meme
2025-03-09,Shiba Inu,SHIB,53566847125,7458430136.968703,1.2653599706487788e-05,Meme
2025-03-08,Shiba Inu,SHIB,52818381327,7737220267.658316,1.3131245997973966e-05,Meme
2025-03-07,Shiba Inu,SHIB,53129568445,7906961171.922834,1.3422366670975497e-05,Meme
2025-03-06,Shiba Inu,SHIB,54635326226,7884887940.720893,1.3381158617652502e-05,Meme
2025-03-05,Shiba Inu,SHIB,52841253099,7707098488.976705,1.3083873433257073e-05,Meme
2025-03-04,Shiba Inu,SHIB,52624318406,7623213128.753894,1.2907393628072152e-05,Meme
2025-03-03,Shiba Inu,SHIB,58575948996,8910104125.22346,1.5132756888953644e-05,Meme
2025-03-02,Shiba Inu,SHIB,53315881522,8031265981.597568,1.3640458975857408e-05,Meme
2025-03-01,Shiba Inu,SHIB,53382319959,8215894861.911585,1.3943722124082336e-05,Meme
2025-02-28,Shiba Inu,SHIB,53397413718,8504562873.65687,1.4430994615339295e-05,Meme
2025-02-27,Shiba Inu,SHIB,53821403556,8459308238.77952,1.4370458550186237e-05,Meme
2025-02-26,Shiba Inu,SHIB,57007119372,8304040098.599179,1.4089719762457833e-05,Meme
2025-02-25,Shiba Inu,SHIB,57948732964,8026174430.712852,1.3618030815978711e-05,Meme
2025-02-24,Shiba Inu,SHIB,62860650681,9119150598.876225,1.547576272647116e-05,Meme
2025-02-23,Shiba Inu,SHIB,61523070291,9209273617.28895,1.5620460732317345e-05,Meme
2025-02-22,Shiba Inu,SHIB,59856415877,8892709252.663677,1.508598865386535e-05,Meme
2025-02-21,Shiba Inu,SHIB,62176735779,9174784183.571238,1.55682197532666e-05,Meme
2025-02-20,Shiba Inu,SHIB,61843336541,9069100036.357456,1.539324097033591e-05,Meme
2025-02-19,Shiba Inu,SHIB,61009742909,8958276981.733698,1.52157279950267e-05,Meme
2025-02-18,Shiba Inu,SHIB,62101229721,9268531614.741034,1.5733564465184877e-05,Meme
2025-02-17,Shiba Inu,SHIB,61016009740,9406171017.71509,1.596285016010297e-05,Meme
2025-02-16,Shiba Inu,SHIB,61615104298,9622080941.43277,1.6326046103467224e-05,Meme
2025-02-15,Shiba Inu,SHIB,61847318360,9858716295.53482,1.67319408149635e-05,Meme
2025-02-14,Shiba Inu,SHIB,61268902387,9609450455.572918,1.6306311871297802e-05,Meme
2025-02-13,Shiba Inu,SHIB,61977977381,10018081875.592257,1.7009109329531596e-05,Meme
2025-02-12,Shiba Inu,SHIB,59808093539,9256115413.217066,1.5700233749412447e-05,Meme
2025-02-11,Shiba Inu,SHIB,60084768437,9308220984.516956,1.5793461323522236e-05,Meme
2025-02-10,Shiba Inu,SHIB,59310670687,9250327195.758097,1.5698371787074686e-05,Meme
2025-02-09,Shiba Inu,SHIB,59297551334,9408303390.566902,1.596017626980966e-05,Meme
2025-02-08,Shiba Inu,SHIB,59093898399,8894264464.554228,1.5094685840596346e-05,Meme
2025-02-07,Shiba Inu,SHIB,59667450125,8729448674.720188,1.484594708761407e-05,Meme
2025-02-06,Shiba Inu,SHIB,60431509761,9291787371.041992,1.5768798822590807e-05,Meme
2025-02-05,Shiba Inu,SHIB,59888030327,9306849610.961134,1.5795483129033613e-05,Meme
2025-02-04,Shiba Inu,SHIB,61429980525,9879050979.43504,1.6758652321727645e-05,Meme
2025-02-03,Shiba Inu,SHIB,60195206113,9100813102.058964,1.5461478424456613e-05,Meme
2025-02-02,Shiba Inu,SHIB,65105410672,10427595683.500332,1.768461049418517e-05,Meme
2025-02-01,Shiba Inu,SHIB,67609593875,11119377330.857904,1.887417661345965e-05,Meme
2025-01-31,Shiba Inu,SHIB,67109496883,11021205783.05829,1.868444404782593e-05,Meme
2025-01-30,Shiba Inu,SHIB,65276586678,10790344102.314222,1.8301175608699823e-05,Meme
2025-01-29,Shiba Inu,SHIB,64096933345,10588742427.07775,1.7968049667482056e-05,Meme
2025-01-28,Shiba Inu,SHIB,65142563149,11149921481.489803,1.8937559569613283e-05,Meme
2025-01-27,Shiba Inu,SHIB,67469315092,11240658650.993765,1.907583837811119e-05,Meme
2025-01-26,Shiba Inu,SHIB,68599495655,11775649457.335836,1.99756547601229e-05,Meme
2025-01-25,Shiba Inu,SHIB,68129454260,11723508538.55043,1.9911887954216567e-05,Meme
2025-01-24,Shiba Inu,SHIB,68298790063,11874883861.111864,2.0147707571149698e-05,Meme
2025-01-23,Shiba Inu,SHIB,67036825332,11901699771.11641,2.0181738875930192e-05,Meme
2025-01-22,Shiba Inu,SHIB,68285084265,12316581922.172668,2.090194963438395e-05,Meme
2025-01-21,Shiba Inu,SHIB,67222813591,11962668749.160463,2.027424612363711e-05,Meme
2025-01-20,Shiba Inu,SHIB,66434616446,11992025196.999454,2.0292941420535845e-05,Meme
2025-01-19,Shiba Inu,SHIB,67958909800,13377655898.605362,2.271964905736459e-05,Meme
2025-01-18,Shiba Inu,SHIB,70818364628,14271876844.364853,2.4222138688772824e-05,Meme
2025-01-17,Shiba Inu,SHIB,68201233903,12971801269.762863,2.1998408479531475e-05,Meme
2025-01-16,Shiba Inu,SHIB,70370406899,13458722075.849085,2.283435722181773e-05,Meme
2025-01-15,Shiba Inu,SHIB,66795889211,12747814650.925287,2.164308152690397e-05,Meme
2025-01-14,Shiba Inu,SHIB,64740832708,12489688633.853312,2.1203341058920377e-05,Meme
2025-01-13,Shiba Inu,SHIB,66327738323,12685739166.85402,2.153169093043295e-05,Meme
2025-01-12,Shiba Inu,SHIB,66882959479,13103843723.282463,2.221258642021289e-05,Meme
2025-01-11,Shiba Inu,SHIB,66322043827,12716085069.441576,2.1581616967285887e-05,Meme
2025-01-10,Shiba Inu,SHIB,65189430131,12421123517.845455,2.108403372283354e-05,Meme
2025-01-09,Shiba Inu,SHIB,66811386601,12580196277.93383,2.1302552737084757e-05,Meme
2025-01-08,Shiba Inu,SHIB,67732869162,12870153212.044563,2.1828037165130384e-05,Meme
2025-01-07,Shiba Inu,SHIB,73001611647,14152281376.912848,2.403150681020591e-05,Meme
2025-01-06,Shiba Inu,SHIB,72332465755,14109392608.46766,2.3944194146974867e-05,Meme
2025-01-05,Shiba Inu,SHIB,72371326348,14335620052.087835,2.4327078842405968e-05,Meme
2025-01-04,Shiba Inu,SHIB,71490254136,14362064759.174414,2.4379405300308436e-05,Meme
2025-01-03,Shiba Inu,SHIB,68819412058,13494363230.851185,2.2889054414177347e-05,Meme
2025-01-02,Shiba Inu,SHIB,67345230386,12732516542.332697,2.160833601555852e-05,Meme
2025-01-01,Shiba Inu,SHIB,66598359441,12469739480.389795,2.116796286084577e-05,Meme
2024-12-31,Shiba Inu,SHIB,66987893156,12423225209.450556,2.109678674523057e-05,Meme
2024-12-30,Shiba Inu,SHIB,67654875230,12625269622.79003,2.138685558037187e-05,Meme
2024-12-29,Shiba Inu,SHIB,68363305510,13044099501.882565,2.213338621258935e-05,Meme
2024-12-28,Shiba Inu,SHIB,66961155950,12741741337.508116,2.1622826686277773e-05,Meme
2024-12-27,Shiba Inu,SHIB,67238330241,12678447766.132963,2.151598972336132e-05,Meme
2024-12-26,Shiba Inu,SHIB,69953153226,13479140500.005342,2.2887408329380538e-05,Meme
2024-12-25,Shiba Inu,SHIB,69872284039,13842731050.514145,2.3541701130944156e-05,Meme
2024-12-24,Shiba Inu,SHIB,68389192221,13239929902.333052,2.2469064508327863e-05,Meme
2024-12-23,Shiba Inu,SHIB,66022434866,12669545054.522852,2.1470500849834685e-05,Meme
2024-12-22,Shiba Inu,SHIB,66649429164,12765708172.697771,2.171082402945258e-05,Meme
2024-12-21,Shiba Inu,SHIB,68805877720,13251484759.722189,2.2515397826907448e-05,Meme
2024-12-20,Shiba Inu,SHIB,68415084249,12792838490.679625,2.1705275594216894e-05,Meme
2024-12-19,Shiba Inu,SHIB,72053034653,14134043525.879684,2.4048944845057463e-05,Meme
2024-12-18,Shiba Inu,SHIB,76165713706,15495539470.119576,2.6283935018074104e-05,Meme
2024-12-17,Shiba Inu,SHIB,78069696038,16069169548.84091,2.724954947915019e-05,Meme
2024-12-16,Shiba Inu,SHIB,77062765051,16471779439.172646,2.7943864222898103e-05,Meme
2024-12-15,Shiba Inu,SHIB,76062763330,16175558402.969423,2.745259754577616e-05,Meme
2024-12-14,Shiba Inu,SHIB,76350034573,16766333800.13849,2.8453217183330948e-05,Meme
2024-12-13,Shiba Inu,SHIB,75614076727,16567282857.837856,2.8131687514448915e-05,Meme
2024-12-12,Shiba Inu,SHIB,75123628162,16964875559.237951,2.8790349859485374e-05,Meme
2024-12-11,Shiba Inu,SHIB,71426603772,15997356520.682108,2.7155903334865192e-05,Meme
2024-12-10,Shiba Inu,SHIB,72060863062,16141931894.471828,2.7408966143168943e-05,Meme
2024-12-09,Shiba Inu,SHIB,77335777280,19039123090.53697,3.2253125342434515e-05,Meme
2024-12-08,Shiba Inu,SHIB,77211431932,18908977540.31608,3.206291000937854e-05,Meme
2024-12-07,Shiba Inu,SHIB,77202658224,18173100264.89394,3.084883552149672e-05,Meme
2024-12-06,Shiba Inu,SHIB,73125567815,18038062043.068844,3.0622896536274784e-05,Meme
2024-12-05,Shiba Inu,SHIB,74130621315,19285709676.437054,3.2842320597983906e-05,Meme
2024-12-04,Shiba Inu,SHIB,70398321031,16894548779.083267,2.86898956258858e-05,Meme
