date,tvl
2021-08-17,0
2021-08-18,0
2021-08-19,0
2021-08-20,0
2021-08-21,0
2021-08-22,0
2021-08-23,0
2021-08-24,0
2021-08-25,0
2021-08-26,0
2021-08-27,0
2021-08-28,0
2021-08-29,0
2021-08-30,0
2021-08-31,3119
2021-09-01,473417
2021-09-02,8167686
2021-09-03,12221890
2021-09-04,12538201
2021-09-05,14102394
2021-09-06,15586949
2021-09-07,26672050
2021-09-08,34848322
2021-09-09,37349653
2021-09-10,61929475
2021-09-11,184820228
2021-09-12,1609246339
2021-09-13,1550066400
2021-09-14,1701485929
2021-09-15,1181321584
2021-09-16,475329475
2021-09-17,395856503
2021-09-18,638246735
2021-09-19,689707711
2021-09-20,655977212
2021-09-21,601658085
2021-09-22,689949186
2021-09-23,724392428
2021-09-24,740496434
2021-09-25,819062799
2021-09-26,868768969
2021-09-27,905986588
2021-09-28,888411343
2021-09-29,887305632
2021-09-30,919951334
2021-10-01,968299003
2021-10-02,995379488
2021-10-03,1050083656
2021-10-04,1051599791
2021-10-05,1138031962
2021-10-06,1156517203
2021-10-07,1205291920
2021-10-08,1208119772
2021-10-09,1206373975
2021-10-10,1396896405
2021-10-11,1382295108
2021-10-12,1457497177
2021-10-13,1526080060
2021-10-14,1588679656
2021-10-15,1631331338
2021-10-16,1634793561
2021-10-17,1661145940
2021-10-18,1678034373
2021-10-19,1714685543
2021-10-20,1760794674
2021-10-21,1837372823
2021-10-22,1808755626
2021-10-23,1778686146
2021-10-24,1849884884
2021-10-25,1870222239
2021-10-26,1907800555
2021-10-27,2189556314
2021-10-28,2176923375
2021-10-29,2303040141
2021-10-30,2320742204
2021-10-31,2301499137
2021-11-01,2417515622
2021-11-02,2493426678
2021-11-03,2580098075
2021-11-04,2587263185
2021-11-05,2568661838
2021-11-06,2557065594
2021-11-07,2487873097
2021-11-08,2564666142
2021-11-09,2637991571
2021-11-10,2601309050
2021-11-11,2535925660
2021-11-12,2587943061
2021-11-13,2549720747
