date,tvl
2020-11-13,2686772
2020-11-14,2599113
2020-11-15,2647373
2020-11-16,2624494
2020-11-17,2637888
2020-11-18,2650648
2020-11-19,2643382
2020-11-20,2754108
2020-11-21,2789311
2020-11-22,2783460
2020-11-23,2938146
2020-11-24,3059596
2020-11-25,3061327
2020-11-26,2824573
2020-11-27,2966933
2020-11-28,2942071
2020-11-29,2919039
2020-11-30,2985338
2020-12-01,3007397
2020-12-02,2958390
2020-12-03,39020592
2020-12-04,39603265
2020-12-05,43243526
2020-12-06,44113129
2020-12-07,40215486
2020-12-08,41184882
2020-12-09,42965309
2020-12-10,46729612
2020-12-11,48737564
2020-12-12,50067594
2020-12-13,50147586
2020-12-14,47826449
2020-12-15,48161546
2020-12-16,45558993
2020-12-17,44627385
2020-12-18,45481826
2020-12-19,45726557
2020-12-20,44663442
2020-12-21,46160062
2020-12-22,46617184
2020-12-23,47609036
2020-12-24,47652724
2020-12-25,47739539
2020-12-26,47987972
2020-12-27,48681396
2020-12-28,46556574
2020-12-29,48193255
2020-12-30,49930426
2020-12-31,49857569
2021-01-01,53158028
2021-01-02,53298081
2021-01-03,53337735
2021-01-04,44562990
2021-01-05,44509988
2021-01-06,44760923
2021-01-07,46761851
2021-01-08,48489788
2021-01-09,49678734
2021-01-10,49047198
2021-01-11,50380491
2021-01-12,49389542
2021-01-13,54986089
2021-01-14,56406749
2021-01-15,58261453
2021-01-16,58090516
2021-01-17,59562090
2021-01-18,60476980
2021-01-19,63550919
2021-01-20,65209471
2021-01-21,65642989
2021-01-22,65099120
2021-01-23,67861990
2021-01-24,67253572
2021-01-25,70998792
2021-01-26,74184478
2021-01-27,78705015
2021-01-28,82612048
2021-01-29,85872539
2021-01-30,91859606
2021-01-31,87836633
2021-02-01,97822886
2021-02-02,104766344
2021-02-03,104227022
2021-02-04,110024065
2021-02-05,110710123
2021-02-06,106611117
2021-02-07,106985188
2021-02-08,102453462
2021-02-09,109898882
2021-02-10,119356471
2021-02-11,124687190
2021-02-12,128746319
2021-02-13,132757226
2021-02-14,128947042
2021-02-15,137372680
2021-02-16,145188370
2021-02-17,150820810
2021-02-18,154669947
2021-02-19,155316192
2021-02-20,169979910
2021-02-21,174015970
2021-02-22,178403161
2021-02-23,180407265
2021-02-24,185295845
2021-02-25,187000861
2021-02-26,185943228
2021-02-27,190614205
2021-02-28,188121656
2021-03-01,195366378
2021-03-02,201244091
2021-03-03,205927427
2021-03-04,209012980
2021-03-05,216561399
2021-03-06,220268496
2021-03-07,226358719
2021-03-08,242668594
2021-03-09,256210016
2021-03-10,265272011
2021-03-11,273662667
2021-03-12,286786017
2021-03-13,293360290
2021-03-14,300575198
2021-03-15,309060905
2021-03-16,311889192
2021-03-17,374946365
2021-03-18,410764465
2021-03-19,448412618
2021-03-20,464038877
2021-03-21,474870097
2021-03-22,499347221
2021-03-23,492341484
2021-03-24,497749956
2021-03-25,496644509
2021-03-26,512855410
2021-03-27,525530655
2021-03-28,534672951
2021-03-29,574083871
2021-03-30,587071349
2021-03-31,593102637
2021-04-01,619041992
2021-04-02,629869620
2021-04-03,623221788
2021-04-04,612459525
2021-04-05,647794720
2021-04-06,2423514435
2021-04-07,2468192585
2021-04-08,2455560337
2021-04-09,2579757530
2021-04-10,2605420043
2021-04-11,2642564119
2021-04-12,2627787948
2021-04-13,2605437463
2021-04-14,2721727284
2021-04-15,2726195085
2021-04-16,2733395538
2021-04-17,2725685965
2021-04-18,2637021367
2021-04-19,2646342076
2021-04-20,2691931690
2021-04-21,2744095191
2021-04-22,3369711430
2021-04-23,3370380892
2021-04-24,3256732516
2021-04-25,3444321563
2021-04-26,3588643958
2021-04-27,3638077807
2021-04-28,3660648185
2021-04-29,3640414419
2021-04-30,3726388760
2021-05-01,3776324829
2021-05-02,3781596127
2021-05-03,3452752333
2021-05-04,3380552173
2021-05-05,3412893795
2021-05-06,3462624381
2021-05-07,3457949797
2021-05-08,3462826808
2021-05-09,3503282738
2021-05-10,3495724211
2021-05-11,3443573808
2021-05-12,3516167718
2021-05-13,3429622140
2021-05-14,3500915787
2021-05-15,3397033225
2021-05-16,3471677493
2021-05-17,3402263153
2021-05-18,3397773789
2021-05-19,2877676398
2021-05-20,2840205042
2021-05-21,2670545515
2021-05-22,2635489613
2021-05-23,2208610641
2021-05-24,2276622546
2021-05-25,2309330444
2021-05-26,2444990493
2021-05-27,2473839915
2021-05-28,2488427577
2021-05-29,2439687227
2021-05-30,2485181606
2021-05-31,2539827677
2021-06-01,2552890589
2021-06-02,2626184905
2021-06-03,2674629144
2021-06-04,2566768875
2021-06-05,2558885960
2021-06-06,2580841580
2021-06-07,2553524040
2021-06-08,2581518316
2021-06-09,2638480198
2021-06-10,2638696021
2021-06-11,2588300997
2021-06-12,2585709358
2021-06-13,2648907965
2021-06-14,2663626432
2021-06-15,2702154916
2021-06-16,2662252405
2021-06-17,2723893392
2021-06-18,2736983131
2021-06-19,2729181756
2021-06-20,2734736068
2021-06-21,2641039441
2021-06-22,2659682759
2021-06-23,2733496557
2021-06-24,2770588670
2021-06-25,2755945457
2021-06-26,2770173203
2021-06-27,2799573731
2021-06-28,2805090519
2021-06-29,2853610369
2021-06-30,2919888034
2021-07-01,2887079290
2021-07-02,2919792524
