date,tvl
2021-08-21,2376
2021-08-22,2314
2021-08-23,116402
2021-08-24,828387
2021-08-25,1116147
2021-08-26,1441298
2021-08-27,1575891
2021-08-28,2988607
2021-08-29,3510422
2021-08-30,3480137
2021-08-31,4377835
2021-09-01,4141607
2021-09-02,4384242
2021-09-03,8671012
2021-09-04,25279668
2021-09-05,30744365
2021-09-06,34811228
2021-09-07,38461845
2021-09-08,45753119
2021-09-09,58780860
2021-09-10,59307153
2021-09-11,60015801
2021-09-12,60781489
2021-09-13,64726973
2021-09-14,63630343
2021-09-15,74737898
2021-09-16,67268092
2021-09-17,53216182
2021-09-18,68158346
2021-09-19,69160382
2021-09-20,58457565
2021-09-21,52048770
2021-09-22,56718968
2021-09-23,67957428
2021-09-24,60371944
2021-09-25,58355278
2021-09-26,54102249
2021-09-27,52870577
2021-09-28,49242663
2021-09-29,50075862
2021-09-30,50481827
2021-10-01,55389072
2021-10-02,57709974
2021-10-03,59409267
2021-10-04,60442642
2021-10-05,66560001
2021-10-06,66619273
2021-10-07,66355535
2021-10-08,72500754
2021-10-09,69977271
2021-10-10,71042049
2021-10-11,66430734
2021-10-12,66939252
2021-10-13,66726558
2021-10-14,68087436
2021-10-15,75281761
2021-10-16,73024010
2021-10-17,75230676
2021-10-18,73480413
2021-10-19,75630130
2021-10-20,77495713
2021-10-21,82586110
2021-10-22,90650078
2021-10-23,88731221
2021-10-24,90906935
2021-10-25,95568705
2021-10-26,120929895
2021-10-27,120929895
2021-10-28,120929895
2021-10-29,120929895
2021-10-30,120929895
2021-10-31,120929894
2021-11-01,120929895
2021-11-02,120929895
2021-11-03,120929895
2021-11-04,120929895
2021-11-05,120929895
2021-11-06,120929895
2021-11-07,120929895
2021-11-08,120929895
2021-11-09,120929895
2021-11-10,120929895
2021-11-11,120929895
2021-11-12,123424702
2021-11-13,118674845
2021-11-14,117500303
2021-11-15,126268165
2021-11-16,111563943
2021-11-17,95567037
2021-11-18,91176392
2021-11-19,86205670
2021-11-20,85014580
2021-11-21,87402679
2021-11-22,83308043
2021-11-23,82694050
2021-11-24,89951884
2021-11-25,84478909
2021-11-26,82502770
2021-11-27,74234769
2021-11-28,75374482
2021-11-29,74256081
2021-11-30,76079989
2021-12-01,75915395
2021-12-02,72844381
2021-12-03,71322590
2021-12-04,77774385
2021-12-05,68896954
2021-12-06,61566949
2021-12-07,63404397
2021-12-08,64350647
2021-12-09,75927013
2021-12-10,76512074
2021-12-11,77368420
2021-12-12,87785152
2021-12-13,78617215
2021-12-14,69886940
2021-12-15,66595026
2021-12-16,68595782
2021-12-17,64898570
2021-12-18,57817039
2021-12-19,57182650
2021-12-20,60886996
2021-12-21,58817241
2021-12-22,60213462
2021-12-23,74238615
2021-12-24,89031578
2021-12-25,92414640
2021-12-26,93844158
2021-12-27,98160322
2021-12-28,87358432
2021-12-29,79508228
2021-12-30,85427222
2021-12-31,88648847
2022-01-01,75011283
2022-01-02,76690394
2022-01-03,75182749
2022-01-04,84936996
2022-01-05,85154971
2022-01-06,89912875
2022-01-07,92322336
2022-01-08,92823117
2022-01-09,82948360
2022-01-10,80574125
2022-01-11,91173405
2022-01-12,105241762
2022-01-13,100741106
2022-01-14,128274006
2022-01-15,130446396
2022-01-16,128684317
2022-01-17,129422977
2022-01-18,123317309
2022-01-19,116316342
2022-01-20,105827584
2022-01-21,101338580
2022-01-22,85188043
2022-01-23,79016794
2022-01-24,74800957
2022-01-25,67969485
2022-01-26,75260625
2022-01-27,72626211
2022-01-28,68198261
2022-01-29,66839862
2022-01-30,67790169
2022-01-31,62644280
2022-02-01,67350484
2022-02-02,67813333
2022-02-03,66474042
2022-02-04,66559623
2022-02-05,76966780
2022-02-06,74901522
2022-02-07,76995159
2022-02-08,76875031
2022-02-09,70589296
2022-02-10,71713862
2022-02-11,66232337
2022-02-12,61879452
2022-02-13,60326716
2022-02-14,58393896
2022-02-15,60316572
2022-02-16,65650679
2022-02-17,63721803
2022-02-18,68220237
2022-02-19,77200932
2022-02-20,94863599
2022-02-21,94288570
2022-02-22,92536693
2022-02-23,96823877
2022-02-24,91326833
2022-02-25,90758364
2022-02-26,96153990
2022-02-27,99147550
2022-02-28,93806011
2022-03-01,99750528
2022-03-02,107212701
2022-03-03,106456597
2022-03-04,102590822
2022-03-05,99777303
2022-03-06,103583475
2022-03-07,98191249
2022-03-08,95991096
2022-03-09,97455920
2022-03-10,106209105
2022-03-11,102262940
2022-03-12,100257518
2022-03-13,97893114
2022-03-14,92887855
2022-03-15,105097129
2022-03-16,104411952
2022-03-17,108991424
2022-03-18,107688047
2022-03-19,113897348
2022-03-20,115701509
2022-03-21,112464836
2022-03-22,117212967
2022-03-23,110887759
2022-03-24,117157359
2022-03-25,118449696
2022-03-26,117901989
2022-03-27,118537324
2022-03-28,121364637
2022-03-29,120469797
2022-03-30,129066413
2022-03-31,141937050
2022-04-01,147678823
2022-04-02,157637583
2022-04-03,157394299
2022-04-04,174317653
2022-04-05,186460198
2022-04-06,183352777
2022-04-07,183722712
2022-04-08,212914894
2022-04-09,222374739
2022-04-10,232666687
2022-04-11,234394251
2022-04-12,241024024
2022-04-13,255715516
2022-04-14,284558152
2022-04-15,291986144
2022-04-16,302339197
2022-04-17,309989022
2022-04-18,317288771
2022-04-19,340653404
2022-04-20,361272315
2022-04-21,361081176
2022-04-22,362673164
2022-04-23,347751818
2022-04-24,348902754
2022-04-25,371809690
2022-04-26,378729244
2022-04-27,357947695
2022-04-28,365607410
2022-04-29,419989273
2022-04-30,402356648
2022-05-01,366340060
2022-05-02,364062633
2022-05-03,371836073
2022-05-04,376271775
2022-05-05,393998760
2022-05-06,365687658
2022-05-07,375563849
2022-05-08,476930624
2022-05-09,481722005
2022-05-10,465932197
2022-05-11,474293605
2022-05-12,387420490
2022-05-13,360899882
2022-05-14,381599493
2022-05-15,388996907
2022-05-16,397983617
2022-05-17,393559707
2022-05-18,396921273
2022-05-19,382897507
2022-05-20,387284958
2022-05-21,396856801
2022-05-22,406212135
2022-05-23,410500370
2022-05-24,403136755
2022-05-25,399673381
2022-05-26,399347221
2022-05-27,399019858
2022-05-28,437044507
2022-05-29,442935823
2022-05-30,448284952
2022-05-31,467037702
2022-06-01,462517192
2022-06-02,454856009
2022-06-03,471371567
2022-06-04,361178173
2022-06-05,359497662
2022-06-06,365111580
2022-06-07,357647717
2022-06-08,357317861
2022-06-09,352471656
2022-06-10,350989516
2022-06-11,339255059
2022-06-12,301759672
2022-06-13,294526202
2022-06-14,275109348
2022-06-15,274134232
2022-06-16,258000772
2022-06-17,252391611
2022-06-18,247571507
2022-06-19,240772029
2022-06-20,247457435
2022-06-21,249711885
2022-06-22,250692069
2022-06-23,247854183
2022-06-24,254186521
2022-06-25,264761684
2022-06-26,266981105
2022-06-27,261392439
2022-06-28,259022023
2022-06-29,241403353
2022-06-30,236719885
2022-07-01,237573665
2022-07-02,247338150
2022-07-03,248287754
2022-07-04,251906143
2022-07-05,258232318
2022-07-06,259846328
2022-07-07,262793569
2022-07-08,271254177
2022-07-09,272271972
2022-07-10,272903418
2022-07-11,269365417
2022-07-12,267808623
2022-07-13,266425950
2022-07-14,261304703
2022-07-15,280756285
2022-07-16,276134024
2022-07-17,279981413
2022-07-18,276780993
2022-07-19,288776846
2022-07-20,289031787
2022-07-21,285741394
2022-07-22,307671133
2022-07-23,305752068
2022-07-24,308333405
2022-07-25,305481872
2022-07-26,298022191
2022-07-27,306861529
2022-07-28,311482813
2022-07-29,317148782
2022-07-30,318832777
2022-07-31,316778033
2022-08-01,315405235
2022-08-02,314436824
2022-08-03,304409931
2022-08-04,312866243
2022-08-05,310463876
2022-08-06,324304927
2022-08-07,316158058
2022-08-08,317447623
2022-08-09,325798766
2022-08-10,319672241
2022-08-11,326497311
2022-08-12,322198745
2022-08-13,325017342
2022-08-14,325156902
2022-08-15,324036635
2022-08-16,319005945
2022-08-17,317100226
2022-08-18,312166923
2022-08-19,304796742
2022-08-20,296673613
2022-08-21,293901624
2022-08-22,295925543
2022-08-23,294999532
2022-08-24,297050539
2022-08-25,298672616
2022-08-26,298750364
2022-08-27,293506782
2022-08-28,291392942
2022-08-29,285881568
2022-08-30,290658539
2022-08-31,292423720
2022-09-01,294583642
2022-09-02,291874965
2022-09-03,290672756
2022-09-04,285855546
2022-09-05,287725256
2022-09-06,288215635
2022-09-07,285826945
2022-09-08,288507550
2022-09-09,290458946
2022-09-10,296569432
2022-09-11,294989574
2022-09-12,295075802
2022-09-13,299020033
2022-09-14,292528774
2022-09-15,291763178
2022-09-16,286735267
2022-09-17,285320943
2022-09-18,288088418
2022-09-19,282092327
2022-09-20,285313696
2022-09-21,282158816
2022-09-22,276207815
2022-09-23,280254293
2022-09-24,276496238
2022-09-25,277201733
2022-09-26,276455940
2022-09-27,275493662
2022-09-28,274154759
2022-09-29,273670166
2022-09-30,274383997
2022-10-01,279321711
2022-10-02,279075686
2022-10-03,277424636
2022-10-04,275430010
2022-10-05,270111929
2022-10-06,271185222
2022-10-07,272061376
2022-10-08,270020095
2022-10-09,266610018
2022-10-10,264366881
2022-10-11,261384473
2022-10-12,261125270
2022-10-13,260476477
2022-10-14,256498626
2022-10-15,255692860
2022-10-16,254971591
2022-10-17,254082710
2022-10-18,255344910
2022-10-19,252639292
2022-10-20,249739367
2022-10-21,249354233
2022-10-22,250254052
2022-10-23,246571457
2022-10-24,247542234
2022-10-25,140992243
2022-10-26,126307509
2022-10-27,128374154
2022-10-28,127363806
2022-10-29,127822278
2022-10-30,128023379
2022-10-31,127395544
2022-11-01,127718864
2022-11-02,125672989
2022-11-03,121995107
2022-11-04,120346686
2022-11-05,121350925
2022-11-06,121958178
2022-11-07,119839447
2022-11-08,119070785
2022-11-09,108008010
2022-11-10,103674918
2022-11-11,100686673
2022-11-12,97172762
2022-11-13,95275666
2022-11-14,93306314
2022-11-15,93376436
2022-11-16,93564719
2022-11-17,91329109
2022-11-18,89379892
2022-11-19,88987797
2022-11-20,88256585
2022-11-21,86231471
2022-11-22,86190377
2022-11-23,86860668
2022-11-24,86206477
2022-11-25,86082576
2022-11-26,86433730
2022-11-27,85952472
2022-11-28,86237785
2022-11-29,85823212
2022-11-30,85896403
2022-12-01,79619471
2022-12-02,79863382
2022-12-03,79840712
2022-12-04,77049803
2022-12-05,78980612
2022-12-06,78312752
2022-12-07,79708228
2022-12-08,77537144
2022-12-09,78187528
2022-12-10,78070669
2022-12-11,78267995
2022-12-12,77410584
2022-12-13,75839965
2022-12-14,77691442
2022-12-15,75965005
2022-12-16,75308443
2022-12-17,72410529
2022-12-18,72384312
2022-12-19,73473826
2022-12-20,70601336
2022-12-21,72860350
2022-12-22,73458243
2022-12-23,72879502
2022-12-24,72392719
2022-12-25,72670470
2022-12-26,72485683
2022-12-27,72776642
2022-12-28,72417941
2022-12-29,71563056
2022-12-30,71879623
2022-12-31,71614903
2023-01-01,70732403
2023-01-02,71573934
2023-01-03,72026659
2023-01-04,71742066
2023-01-05,73609750
2023-01-06,71958247
2023-01-07,72522530
2023-01-08,73446414
2023-01-09,75081617
2023-01-10,74823028
2023-01-11,75275134
2023-01-12,77899320
2023-01-13,77950616
2023-01-14,80123217
2023-01-15,81690607
2023-01-16,82724767
2023-01-17,81647489
2023-01-18,81395845
2023-01-19,79609130
2023-01-20,81058093
2023-01-21,84251272
2023-01-22,83965947
2023-01-23,85465341
2023-01-24,86236864
2023-01-25,83626562
