date,tvl
2022-01-02,822261
2022-01-03,846902
2022-01-04,1057849
2022-01-05,1053824
2022-01-06,1728140
2022-01-07,1792241
2022-01-08,1846144
2022-01-09,1833250
2022-01-10,1710767
2022-01-11,1584547
2022-01-12,1731530
2022-01-13,1882520
2022-01-14,1918580
2022-01-15,1928448
2022-01-16,2337835
2022-01-17,2699501
2022-01-18,3210992
2022-01-19,3589835
2022-01-20,3227583
2022-01-21,45952795
2022-01-22,87789515
2022-01-23,85321599
2022-01-24,82709121
2022-01-25,77240896
2022-01-26,76247591
2022-01-27,79406689
2022-01-28,74306961
2022-01-29,74479283
2022-01-30,75146518
2022-01-31,72413362
2022-02-01,74889090
2022-02-02,75041907
2022-02-03,72002522
2022-02-04,74577705
2022-02-05,81200044
2022-02-06,82879040
2022-02-07,81792068
2022-02-08,86883200
2022-02-09,91834004
2022-02-10,98442987
2022-02-11,98486012
2022-02-12,96730599
2022-02-13,100189882
2022-02-14,105103215
2022-02-15,114640789
2022-02-16,127243665
2022-02-17,129717982
2022-02-18,127817331
2022-02-19,127808940
2022-02-20,129529514
2022-02-21,122683295
2022-02-22,115670198
2022-02-23,120074850
2022-02-24,118245647
2022-02-25,111846344
2022-02-26,120405891
2022-02-27,118999196
2022-02-28,113898508
2022-03-01,134273373
2022-03-02,132164729
2022-03-03,132428902
2022-03-04,136632798
2022-03-05,135620352
2022-03-06,152661491
2022-03-07,158557014
2022-03-08,161661780
2022-03-09,166096364
2022-03-10,175493095
2022-03-11,167141647
2022-03-12,170552521
2022-03-13,177402489
2022-03-14,182816016
2022-03-15,191248491
2022-03-16,200464372
2022-03-17,219419698
2022-03-18,225828866
2022-03-19,240788532
2022-03-20,271463815
2022-03-21,276197206
2022-03-22,288010826
2022-03-23,316360151
2022-03-24,325997796
2022-03-25,321972452
2022-03-26,308453916
2022-03-27,308813344
2022-03-28,323176336
2022-03-29,321163394
2022-03-30,301689178
2022-03-31,289307767
2022-04-01,242565592
2022-04-02,241820872
2022-04-03,241867897
2022-04-04,246796965
2022-04-05,252258881
2022-04-06,239894255
2022-04-07,220774357
2022-04-08,231965597
2022-04-09,217543214
2022-04-10,221169921
2022-04-11,219578233
2022-04-12,196792683
2022-04-13,233014611
2022-04-14,238984005
