date,tvl
2020-10-09,2495
2020-10-10,48672
2020-10-11,142895
2020-10-12,653287
2020-10-13,665986
2020-10-14,765177
2020-10-15,825074
2020-10-16,821380
2020-10-17,801298
2020-10-18,404151
2020-10-19,420992
2020-10-20,421641
2020-10-21,415226
2020-10-22,415287
2020-10-23,389834
2020-10-24,339612
2020-10-25,428317
2020-10-26,751690
2020-10-27,1202336
2020-10-28,1199079
2020-10-29,823043
2020-10-30,798922
2020-10-31,793623
2020-11-01,830989
2020-11-02,786867
2020-11-03,809322
2020-11-04,799866
2020-11-05,791152
2020-11-06,526293
2020-11-07,456844
2020-11-08,613908
2020-11-09,613808
2020-11-10,610219
2020-11-11,614324
2020-11-12,631107
2020-11-13,621321
2020-11-14,621080
2020-11-15,605354
2020-11-16,547176
2020-11-17,559910
2020-11-18,571830
2020-11-19,569666
2020-11-20,589737
2020-11-21,597983
2020-11-22,558301
2020-11-23,572963
2020-11-24,585773
2020-11-25,582692
2020-11-26,587724
2020-11-27,488473
2020-11-28,504872
2020-11-29,540783
2020-11-30,506144
2020-12-01,526262
2020-12-02,519640
2020-12-03,525785
2020-12-04,524382
2020-12-05,468825
2020-12-06,450965
2020-12-07,447146
2020-12-08,431665
2020-12-09,415894
2020-12-10,407239
2020-12-11,421717
2020-12-12,383676
2020-12-13,394490
2020-12-14,372165
2020-12-15,376919
2020-12-16,376399
2020-12-17,391816
2020-12-18,406705
2020-12-19,416313
2020-12-20,451850
2020-12-21,449476
2020-12-22,399051
2020-12-23,397543
2020-12-24,346303
2020-12-25,350964
2020-12-26,344491
2020-12-27,347114
2020-12-28,359356
2020-12-29,347691
2020-12-30,340210
2020-12-31,316582
2021-01-01,324727
2021-01-02,313526
2021-01-03,319409
2021-01-04,305080
2021-01-05,311320
2021-01-06,335776
2021-01-07,346350
2021-01-08,356188
2021-01-09,356015
2021-01-10,376600
2021-01-11,381855
2021-01-12,350750
2021-01-13,469478
2021-01-14,638845
2021-01-15,647082
2021-01-16,720336
2021-01-17,1019493
2021-01-18,1326062
2021-01-19,1593482
2021-01-20,2033571
2021-01-21,2370030
2021-01-22,2409091
2021-01-23,2920798
2021-01-24,2928082
2021-01-25,3004169
2021-01-26,3208050
2021-01-27,3571412
2021-01-28,3797893
2021-01-29,4390483
2021-01-30,4979942
2021-01-31,5032785
2021-02-01,4764689
2021-02-02,4528210
2021-02-03,4567429
2021-02-04,4517544
2021-02-05,4522288
2021-02-06,4822281
2021-02-07,4769260
2021-02-08,4900623
2021-02-09,5296403
2021-02-10,5983107
2021-02-11,6761165
2021-02-12,7227940
2021-02-13,8136238
2021-02-14,9180200
2021-02-15,9763689
2021-02-16,10557091
2021-02-17,12901611
2021-02-18,14181513
2021-02-19,15121118
2021-02-20,19985372
2021-02-21,21273751
2021-02-22,25126756
2021-02-23,32980637
2021-02-24,40090310
2021-02-25,49155267
2021-02-26,57650080
2021-02-27,54454780
2021-02-28,67170337
2021-03-01,76387918
2021-03-02,92081053
2021-03-03,97276123
2021-03-04,109632670
2021-03-05,107583534
2021-03-06,108581057
2021-03-07,96570157
2021-03-08,92359438
2021-03-09,97418492
2021-03-10,104240958
2021-03-11,105090332
2021-03-12,109327220
2021-03-13,111556936
2021-03-14,118433768
2021-03-15,123246093
2021-03-16,123585244
2021-03-17,120249001
2021-03-18,125692524
2021-03-19,124022156
2021-03-20,124960232
2021-03-21,119270756
2021-03-22,119068888
2021-03-23,111461195
2021-03-24,108666106
2021-03-25,103728108
2021-03-26,102402214
2021-03-27,107174972
2021-03-28,116591278
2021-03-29,115537722
2021-03-30,117129035
2021-03-31,115694530
2021-04-01,116501665
2021-04-02,116690313
2021-04-03,127062427
2021-04-04,124830164
2021-04-05,125154962
2021-04-06,140992800
2021-04-07,136054233
2021-04-08,129886125
2021-04-09,131842133
2021-04-10,137383743
2021-04-11,137497912
2021-04-12,142032395
2021-04-13,139553101
2021-04-14,154037175
2021-04-15,292296568
2021-04-16,392426016
2021-04-17,433197676
2021-04-18,440846428
2021-04-19,411573481
2021-04-20,444356105
2021-04-21,448728086
2021-04-22,490888917
2021-04-23,553220929
2021-04-24,567658501
2021-04-25,594821514
2021-04-26,637737629
2021-04-27,763564469
2021-04-28,946861055
2021-04-29,1133647322
2021-04-30,1410870499
2021-05-01,1586893250
2021-05-02,1573036620
2021-05-03,2000301816
2021-05-04,2104948098
2021-05-05,2202121008
2021-05-06,2204356252
2021-05-07,2294223253
2021-05-08,2490715213
2021-05-09,2602618217
2021-05-10,2838139592
2021-05-11,2911029909
2021-05-12,2962531922
2021-05-13,3192519210
2021-05-14,3347824138
2021-05-15,3789477535
2021-05-16,4109258580
2021-05-17,4512113664
2021-05-18,4645163988
2021-05-19,5059322370
2021-05-20,4706992559
2021-05-21,5155145800
2021-05-22,5080112929
2021-05-23,4527274445
2021-05-24,4345978490
2021-05-25,5037384816
2021-05-26,5370506159
2021-05-27,6073575780
2021-05-28,6160843322
2021-05-29,5764540766
2021-05-30,5874671153
2021-05-31,6276225251
2021-06-01,6638092908
2021-06-02,6691725752
2021-06-03,6910798469
2021-06-04,6964831821
2021-06-05,6638312979
2021-06-06,6662474603
2021-06-07,6771174108
2021-06-08,6841750685
2021-06-09,6643333632
2021-06-10,6846579822
2021-06-11,6968153313
2021-06-12,6927270712
2021-06-13,7076917320
2021-06-14,9241428413
2021-06-15,9890169842
2021-06-16,8054546870
2021-06-17,7551929002
2021-06-18,7031958636
2021-06-19,6885433691
2021-06-20,6820388085
2021-06-21,6630963649
2021-06-22,5995402489
2021-06-23,5701639752
2021-06-24,5666973256
2021-06-25,5610644333
2021-06-26,5380591655
2021-06-27,5239110833
2021-06-28,5264431808
2021-06-29,5349749840
2021-06-30,5446288285
2021-07-01,5447772637
2021-07-02,5474102961
2021-07-03,5488568677
2021-07-04,5682058011
2021-07-05,5742956311
2021-07-06,5655714047
2021-07-07,5821138613
2021-07-08,5726381023
2021-07-09,5559337950
2021-07-10,5517613522
2021-07-11,5546755403
2021-07-12,5543596020
2021-07-13,5277906396
2021-07-14,5158751130
2021-07-15,5139708151
2021-07-16,5062537959
2021-07-17,5301331056
2021-07-18,5543804232
2021-07-19,5201921999
2021-07-20,4971145804
2021-07-21,4914050572
2021-07-22,5126571554
2021-07-23,5388928930
2021-07-24,5539527584
2021-07-25,5607928003
2021-07-26,5675297892
2021-07-27,5731156218
2021-07-28,5775799313
2021-07-29,5723020210
2021-07-30,5821295105
2021-07-31,6006153195
2021-08-01,6084402021
2021-08-02,6056602792
2021-08-03,6024478622
2021-08-04,5755229282
2021-08-05,5881717550
2021-08-06,5914794951
2021-08-07,5929121039
2021-08-08,6013210735
2021-08-09,5796148145
2021-08-10,5933852296
2021-08-11,5893201123
2021-08-12,5930727692
2021-08-13,5951462618
2021-08-14,6120074280
2021-08-15,5986582923
2021-08-16,6009864938
2021-08-17,5776008252
2021-08-18,5629002250
2021-08-19,5609219444
2021-08-20,5598266933
2021-08-21,5741352137
2021-08-22,5686459678
2021-08-23,5592569106
2021-08-24,5555157345
2021-08-25,5351398761
2021-08-26,5274164607
2021-08-27,5125702717
2021-08-28,5242963000
2021-08-29,5129454604
2021-08-30,5061820626
2021-08-31,4978965378
2021-09-01,5143397380
2021-09-02,5269180256
2021-09-03,5251823469
2021-09-04,5282687906
2021-09-05,5342723168
2021-09-06,5283058068
2021-09-07,5085916605
2021-09-08,4619899820
2021-09-09,4658131176
2021-09-10,4514673282
2021-09-11,4400811121
2021-09-12,4351533142
2021-09-13,4317966921
2021-09-14,4286792823
2021-09-15,4386929497
2021-09-16,4425820969
2021-09-17,4369630226
2021-09-18,4283904650
2021-09-19,4248730431
2021-09-20,4049659227
2021-09-21,3700575535
2021-09-22,3679155234
2021-09-23,3871134146
2021-09-24,3881098562
2021-09-25,3827499796
2021-09-26,3833400382
2021-09-27,3859866553
2021-09-28,3755746345
2021-09-29,3724495662
2021-09-30,3789079276
2021-10-01,3993776046
2021-10-02,4169708422
2021-10-03,4252723215
2021-10-04,4240070543
2021-10-05,4286563676
2021-10-06,4308882473
2021-10-07,4322142157
2021-10-08,4218583200
2021-10-09,4079214117
2021-10-10,4037519540
2021-10-11,3962401883
2021-10-12,3992979912
2021-10-13,3964995267
2021-10-14,4027824814
2021-10-15,4117016060
2021-10-16,4241950681
2021-10-17,4232691401
2021-10-18,4209906092
2021-10-19,4232955200
2021-10-20,4295577111
2021-10-21,4424454553
2021-10-22,4252502190
2021-10-23,4165778895
2021-10-24,4256391344
2021-10-25,4189405062
2021-10-26,4277658686
2021-10-27,4261726265
2021-10-28,4128915975
2021-10-29,4484184746
2021-10-30,4447940583
2021-10-31,4465128685
2021-11-01,4473684592
2021-11-02,4521435242
2021-11-03,4637579992
2021-11-04,4691193847
2021-11-05,4588242786
2021-11-06,4558951598
2021-11-07,4507582622
2021-11-08,4621058861
2021-11-09,4606803163
2021-11-10,4545414156
2021-11-11,4399900891
2021-11-12,4477478085
2021-11-13,4430723131
2021-11-14,4437388281
2021-11-15,4413859367
2021-11-16,4332781877
2021-11-17,4137419207
2021-11-18,4207717590
2021-11-19,3942684127
2021-11-20,4196656177
2021-11-21,4249599724
2021-11-22,4213753449
2021-11-23,4065388357
2021-11-24,4264054525
2021-11-25,4247091241
2021-11-26,4411899552
2021-11-27,4198158544
2021-11-28,4209084484
2021-11-29,4333633379
2021-11-30,4440584468
2021-12-01,4481935298
2021-12-02,4498690540
2021-12-03,4506179299
2021-12-04,4378196193
2021-12-05,4231334696
2021-12-06,4326176285
2021-12-07,4452958098
2021-12-08,4474691994
2021-12-09,4662677015
2021-12-10,4401856117
2021-12-11,4299056971
2021-12-12,4393897528
2021-12-13,4450735878
2021-12-14,4202830661
2021-12-15,4331063160
2021-12-16,4434945060
2021-12-17,4392257810
2021-12-18,4385704855
2021-12-19,4488768496
2021-12-20,4493447372
2021-12-21,4480722460
2021-12-22,4642332680
2021-12-23,4721745853
2021-12-24,4956488065
2021-12-25,4941416079
2021-12-26,5037766587
2021-12-27,5187817659
2021-12-28,5099051226
2021-12-29,4942662786
2021-12-30,4836141130
2021-12-31,4907380168
2022-01-01,4873081389
2022-01-02,4997620791
2022-01-03,5044339232
2022-01-04,5019067286
2022-01-05,5053728457
2022-01-06,4815937372
2022-01-07,4767310196
2022-01-08,4629352067
2022-01-09,4564699137
2022-01-10,4643551013
2022-01-11,4581680611
2022-01-12,4799460598
2022-01-13,4923837406
2022-01-14,4822266672
2022-01-15,4901457178
2022-01-16,4940710231
2022-01-17,4939333495
2022-01-18,4808203754
2022-01-19,4720498162
2022-01-20,4656700634
2022-01-21,4554176578
2022-01-22,4077999967
2022-01-23,3864657798
2022-01-24,4009124509
2022-01-25,3899502061
2022-01-26,4020377355
2022-01-27,4065662572
2022-01-28,3918300945
2022-01-29,4105760131
2022-01-30,4256828440
2022-01-31,4231764698
2022-02-01,4296554838
2022-02-02,4455392397
2022-02-03,4354277344
2022-02-04,4318452926
2022-02-05,4582942878
2022-02-06,4649977516
2022-02-07,4696471671
2022-02-08,4687944191
2022-02-09,4794995807
2022-02-10,4904979571
2022-02-11,4801446008
2022-02-12,4530677791
2022-02-13,4364876780
2022-02-14,4264121906
2022-02-15,4200253913
2022-02-16,4310078706
2022-02-17,4079049874
2022-02-18,3697491968
2022-02-19,3522615608
2022-02-20,3503334070
2022-02-21,3371998168
2022-02-22,3336296270
2022-02-23,3302248270
2022-02-24,3252885274
2022-02-25,3202338988
2022-02-26,3342991381
2022-02-27,3324369863
2022-02-28,3209956570
