date,tvl
2021-04-12,2314924
2021-04-13,6977825
2021-04-14,9885088
2021-04-15,12372264
2021-04-16,15363435
2021-04-17,14489558
2021-04-18,15227238
2021-04-19,14005888
2021-04-20,14598256
2021-04-21,14487966
2021-04-22,14038749
2021-04-23,14264343
2021-04-24,13099948
2021-04-25,12619910
2021-04-26,11999633
2021-04-27,13623375
2021-04-28,22868629
2021-04-29,22660508
2021-04-30,21811485
2021-05-01,23737380
2021-05-02,23705822
2021-05-03,23303631
2021-05-04,25536621
2021-05-05,25746010
2021-05-06,53278810
2021-05-07,51202564
2021-05-08,51702982
2021-05-09,53807686
2021-05-10,52759539
2021-05-11,49785798
2021-05-12,64347846
2021-05-13,63363717
2021-05-14,62402438
2021-05-15,66757915
2021-05-16,64857846
2021-05-17,65485732
2021-05-18,65619802
2021-05-19,72670335
2021-05-20,53851510
2021-05-21,58467646
2021-05-22,45942110
2021-05-23,43671293
2021-05-24,36990603
2021-05-25,45353381
2021-05-26,63010337
2021-05-27,71482716
2021-05-28,75555975
2021-05-29,67125522
2021-05-30,57562964
2021-05-31,63596493
2021-06-01,69648382
2021-06-02,67061508
2021-06-03,85905850
2021-06-04,91182330
2021-06-05,84392694
2021-06-06,80038249
2021-06-07,80137166
2021-06-08,72607545
2021-06-09,75694554
2021-06-10,80847198
2021-06-11,75985314
2021-06-12,69210050
2021-06-13,64932171
2021-06-14,71936834
2021-06-15,91057386
2021-06-16,104700307
2021-06-17,103166436
2021-06-18,99840601
2021-06-19,93857234
2021-06-20,88163202
2021-06-21,94178285
2021-06-22,74335964
2021-06-23,69615843
2021-06-24,72764729
2021-06-25,90885585
2021-06-26,79175398
2021-06-27,79312739
2021-06-28,86939215
2021-06-29,90631536
2021-06-30,93418946
2021-07-01,94838231
2021-07-02,88448605
2021-07-03,114758957
2021-07-04,119966105
2021-07-05,125156926
2021-07-06,122535408
2021-07-07,138219645
2021-07-08,145559156
2021-07-09,139427213
2021-07-10,138196266
2021-07-11,136688659
2021-07-12,137083654
2021-07-13,135884190
2021-07-14,135197400
2021-07-15,119739652
2021-07-16,101059832
2021-07-17,104642170
2021-07-18,104642120
2021-07-19,104586903
2021-07-20,102641842
2021-07-21,102756745
2021-07-22,101753995
2021-07-23,101753995
2021-07-24,101751586
2021-07-25,101751586
2021-07-26,101751586
2021-07-27,101751586
2021-07-28,101751586
2021-07-29,101751586
2021-07-30,101751586
2021-07-31,101751586
2021-08-01,101751586
2021-08-02,101751586
2021-08-03,101751586
2021-08-04,101751586
2021-08-05,101751586
2021-08-06,101751586
2021-08-07,101751586
2021-08-08,101751586
2021-08-09,101751586
2021-08-10,101751586
2021-08-11,101751346
2021-08-12,101751293
2021-08-13,101751243
2021-08-14,101751006
2021-08-15,101750956
2021-08-16,101750907
2021-08-17,101750705
2021-08-18,101750656
2021-08-19,101750608
2021-08-20,101750466
2021-08-21,101750419
2021-08-22,101750371
2021-08-23,101750231
2021-08-24,101750184
2021-08-25,101750147
2021-08-26,101750090
2021-08-27,101749953
2021-08-28,101749905
2021-08-29,101749858
2021-08-30,101749720
2021-08-31,101749674
2021-09-01,101749630
2021-09-02,101749491
2021-09-03,101749446
2021-09-04,101749401
2021-09-05,101749264
2021-09-06,101749219
2021-09-07,101749175
2021-09-08,101749039
2021-09-09,101748995
2021-09-10,101748951
2021-09-11,101748816
2021-09-12,101748772
2021-09-13,101748729
2021-09-14,101748685
2021-09-15,101748551
2021-09-16,101748508
2021-09-17,203428668
2021-09-18,206190646
2021-09-19,191952937
2021-09-20,158744909
2021-09-21,144187294
2021-09-22,165970481
2021-09-23,190628789
2021-09-24,167754434
2021-09-25,157838418
2021-09-26,155201402
2021-09-27,149999595
2021-09-28,141427664
2021-09-29,140236533
2021-09-30,147531022
2021-10-01,166031183
2021-10-02,169980083
2021-10-03,176052487
2021-10-04,182169847
2021-10-05,180786971
2021-10-06,179817266
2021-10-07,176538463
2021-10-08,176607389
2021-10-09,181293227
2021-10-10,170004598
2021-10-11,162618357
2021-10-12,158313166
2021-10-13,159969970
2021-10-14,159946568
2021-10-15,165225775
2021-10-16,170795211
2021-10-17,172802535
2021-10-18,169790549
2021-10-19,166230526
2021-10-20,164955418
2021-10-21,180188841
2021-10-22,182060971
2021-10-23,199312380
2021-10-24,206890507
2021-10-25,227873228
2021-10-26,243489101
2021-10-27,233486232
2021-10-28,232536653
2021-10-29,248250766
2021-10-30,261167053
2021-10-31,268960730
2021-11-01,274715401
2021-11-02,290351993
2021-11-03,304486324
2021-11-04,402827128
2021-11-05,355718905
2021-11-06,356391890
2021-11-07,363104226
2021-11-08,372466118
2021-11-09,382306748
2021-11-10,368281579
2021-11-11,355441208
2021-11-12,367939571
2021-11-13,353616292
2021-11-14,351776436
2021-11-15,351776436
2021-11-16,351776436
2021-11-17,351776436
2021-11-18,351776436
2021-11-19,300504301
2021-11-20,320433410
2021-11-21,328835632
2021-11-22,315825161
2021-11-23,299369552
2021-11-24,304331650
2021-11-25,308372541
2021-11-26,322211447
2021-11-27,297455683
2021-11-28,300098964
2021-11-29,308756617
2021-11-30,300313833
2021-12-01,299747671
2021-12-02,293069113
2021-12-03,294659502
2021-12-04,270521475
2021-12-05,245043023
2021-12-06,230100816
2021-12-07,233875599
2021-12-08,229541891
2021-12-09,238521573
2021-12-10,218293218
2021-12-11,198944968
2021-12-12,204522612
2021-12-13,205057283
2021-12-14,185216524
2021-12-15,180407251
2021-12-16,185586181
2021-12-17,181931561
2021-12-18,172716406
2021-12-19,177626793
2021-12-20,168781541
2021-12-21,171573681
2021-12-22,178870639
2021-12-23,182596671
2021-12-24,195874246
2021-12-25,200381410
2021-12-26,203997171
2021-12-27,198876007
2021-12-28,213533507
2021-12-29,200879037
2021-12-30,187976648
2021-12-31,190734898
2022-01-01,191255738
2022-01-02,200375520
2022-01-03,203273174
2022-01-04,201628951
2022-01-05,207337095
2022-01-06,197877226
2022-01-07,192260237
2022-01-08,184970612
2022-01-09,181550392
2022-01-10,183956189
2022-01-11,173851511
2022-01-12,183441019
2022-01-13,192853849
2022-01-14,190097215
2022-01-15,190902137
2022-01-16,192559279
2022-01-17,191674811
2022-01-18,186248245
2022-01-19,189659414
2022-01-20,186461817
2022-01-21,176411538
2022-01-22,153256690
2022-01-23,137580618
2022-01-24,143607664
2022-01-25,142130531
2022-01-26,151828298
2022-01-27,152600652
2022-01-28,153585666
2022-01-29,155639124
2022-01-30,160414707
2022-01-31,152934151
2022-02-01,160147371
2022-02-02,164841541
2022-02-03,154648947
2022-02-04,153639635
2022-02-05,170092425
2022-02-06,175410039
2022-02-07,177794123
2022-02-08,186297639
2022-02-09,184092695
2022-02-10,185519045
2022-02-11,177807450
2022-02-12,167190026
