date,tvl
2018-04-27,404078
2018-04-28,400585
2018-04-29,429214
2018-04-30,421651
2018-05-01,436195
2018-05-02,429829
2018-05-03,452872
2018-05-04,535354
2018-05-05,587025
2018-05-06,612041
2018-05-07,606186
2018-05-08,545101
2018-05-09,554542
2018-05-10,553727
2018-05-11,534216
2018-05-12,513758
2018-05-13,494663
2018-05-14,506290
2018-05-15,526044
2018-05-16,488486
2018-05-17,472707
2018-05-18,453483
2018-05-19,485519
2018-05-20,489577
2018-05-21,502532
2018-05-22,488726
2018-05-23,459658
2018-05-24,398599
2018-05-25,441987
2018-05-26,413711
2018-05-27,373254
2018-05-28,384165
2018-05-29,333481
2018-05-30,366440
2018-05-31,357505
2018-06-01,377764
2018-06-02,366693
2018-06-03,400182
2018-06-04,414106
2018-06-05,404405
2018-06-06,397587
2018-06-07,413084
2018-06-08,407737
2018-06-09,410462
2018-06-10,407531
2018-06-11,340982
2018-06-12,343077
2018-06-13,318042
2018-06-14,311769
2018-06-15,345592
2018-06-16,337318
2018-06-17,342633
2018-06-18,344370
2018-06-19,371710
2018-06-20,377297
2018-06-21,385892
2018-06-22,374647
2018-06-23,328674
2018-06-24,338020
2018-06-25,325353
2018-06-26,328391
2018-06-27,312520
2018-06-28,331967
2018-06-29,339220
2018-06-30,337359
2018-07-01,345807
2018-07-02,352556
2018-07-03,375402
2018-07-04,355123
2018-07-05,372106
2018-07-06,388751
2018-07-07,357603
2018-07-08,402883
2018-07-09,381732
2018-07-10,388747
2018-07-11,334323
2018-07-12,338796
2018-07-13,329138
2018-07-14,335945
2018-07-15,327538
2018-07-16,352942
2018-07-17,368446
2018-07-18,387730
2018-07-19,357727
2018-07-20,354616
2018-07-21,337663
2018-07-22,343527
2018-07-23,353047
2018-07-24,325949
2018-07-25,357184
2018-07-26,351104
2018-07-27,341819
2018-07-28,340057
2018-07-29,342665
2018-07-30,341928
2018-07-31,337279
2018-08-01,322135
2018-08-02,337276
2018-08-03,337913
2018-08-04,371713
2018-08-05,356597
2018-08-06,358439
2018-08-07,367117
2018-08-08,367758
2018-08-09,340001
2018-08-10,337587
2018-08-11,337173
2018-08-12,337317
2018-08-13,340362
2018-08-14,342258
2018-08-15,341052
2018-08-16,359167
2018-08-17,369143
2018-08-18,367401
2018-08-19,365249
2018-08-20,363340
2018-08-21,358941
2018-08-22,316470
2018-08-23,242301
2018-08-24,2502794
2018-08-25,372407
2018-08-26,1302139
2018-08-27,8969865
2018-08-28,9018719
2018-08-29,1180226
2018-08-30,1175880
2018-08-31,1164422
2018-09-01,1178641
2018-09-02,1721605
2018-09-03,1714498
2018-09-04,1655376
2018-09-05,1541536
2018-09-06,1401925
2018-09-07,1373024
2018-09-08,1368295
2018-09-09,1305799
2018-09-10,654995
2018-09-11,1013470
2018-09-12,1369792
2018-09-13,969787
2018-09-14,967549
2018-09-15,609334
2018-09-16,1314516
2018-09-17,468276
2018-09-18,422289
2018-09-19,454622
2018-09-20,449140
2018-09-21,458246
2018-09-22,610155
2018-09-23,1090775
2018-09-24,1091669
2018-09-25,340530
2018-09-26,421474
2018-09-27,487851
2018-09-28,2062156
2018-09-29,3596029
2018-09-30,3917495
2018-10-01,3784471
2018-10-02,4022968
2018-10-03,3739590
2018-10-04,3317090
2018-10-05,3288586
2018-10-06,3555982
2018-10-07,3345383
2018-10-08,2990374
2018-10-09,3017476
2018-10-10,3312011
2018-10-11,3294332
2018-10-12,2875061
2018-10-13,3384947
2018-10-14,3421113
2018-10-15,3373174
2018-10-16,4833996
2018-10-17,4074596
2018-10-18,5723684
2018-10-19,5445988
2018-10-20,5700030
2018-10-21,4772746
2018-10-22,5842451
2018-10-23,6079294
2018-10-24,5961246
2018-10-25,6265812
2018-10-26,6565393
2018-10-27,4814509
2018-10-28,6483197
2018-10-29,6595755
2018-10-30,5738062
2018-10-31,3932026
2018-11-01,3912717
2018-11-02,3911408
2018-11-03,3491551
2018-11-04,4430768
2018-11-05,4109049
2018-11-06,4148806
2018-11-07,4436009
2018-11-08,4392574
2018-11-09,4196212
2018-11-10,4044371
2018-11-11,4173221
2018-11-12,4083018
2018-11-13,4338028
2018-11-14,4275287
2018-11-15,3683607
2018-11-16,3916651
2018-11-17,3777996
2018-11-18,3619614
2018-11-19,14168001
2018-11-20,2893450
2018-11-21,2213634
2018-11-22,2817095
2018-11-23,4207920
2018-11-24,4248590
2018-11-25,3926654
2018-11-26,4859024
2018-11-27,4683037
2018-11-28,5399338
2018-11-29,6207559
2018-11-30,6455300
2018-12-01,6418273
2018-12-02,7185037
2018-12-03,6513089
2018-12-04,5342217
2018-12-05,5198881
2018-12-06,3905166
2018-12-07,3399289
2018-12-08,3951933
2018-12-09,4274771
2018-12-10,3323394
2018-12-11,3286046
2018-12-12,3364537
2018-12-13,3517188
2018-12-14,3270665
2018-12-15,2968926
2018-12-16,3311346
2018-12-17,3509573
