date,tvl
2021-11-20,8162022
2021-11-21,8303014
2021-11-22,8479243
2021-11-23,8479345
2021-11-24,8727230
2021-11-25,8596736
2021-11-26,9149627
2021-11-27,8793379
2021-11-28,9129992
2021-11-29,8552485
2021-11-30,12473166
2021-12-01,12747057
2021-12-02,12692699
2021-12-03,13093186
2021-12-04,12454552
2021-12-05,12397444
2021-12-06,12721376
2021-12-07,13749137
2021-12-08,13977690
2021-12-09,15192749
2021-12-10,15385764
2021-12-11,16139673
2021-12-12,17206403
2021-12-13,19338180
2021-12-14,18291867
2021-12-15,19149977
2021-12-16,19113403
2021-12-17,17298963
2021-12-18,17476340
2021-12-19,19926648
2021-12-20,19780667
2021-12-21,20465096
2021-12-22,20973456
2021-12-23,20120522
2021-12-24,20849173
2021-12-25,21050961
2021-12-26,21183413
2021-12-27,20810926
2021-12-28,20767662
2021-12-29,19699017
2021-12-30,19453849
2021-12-31,19122491
2022-01-01,20094432
2022-01-02,19868735
2022-01-03,20345821
2022-01-04,19742113
2022-01-05,19101275
2022-01-06,18929892
2022-01-07,18493323
2022-01-08,18097094
2022-01-09,17872916
2022-01-10,17674709
2022-01-11,17283589
2022-01-12,18300571
2022-01-13,17190083
2022-01-14,16567231
2022-01-15,15189130
2022-01-16,16115242
2022-01-17,16084809
2022-01-18,16937979
2022-01-19,17286324
2022-01-20,17076472
2022-01-21,15798936
2022-01-22,14526971
2022-01-23,14149465
2022-01-24,14367102
2022-01-25,13774062
2022-01-26,13974670
2022-01-27,13828263
2022-01-28,13680625
2022-01-29,13820746
2022-01-30,13931155
2022-01-31,13329970
2022-02-01,13665036
2022-02-02,13665036
2022-02-03,13445516
2022-02-04,13525228
2022-02-05,14296369
2022-02-06,14543415
2022-02-07,14885440
2022-02-08,15472419
2022-02-09,15531074
2022-02-10,15365603
2022-02-11,15131073
2022-02-12,14367896
2022-02-13,14500991
2022-02-14,14154959
2022-02-15,14160460
2022-02-16,14496940
2022-02-17,14407753
2022-02-18,13791751
2022-02-19,13136093
2022-02-20,13414806
2022-02-21,12968971
2022-02-22,12455909
2022-02-23,12659391
2022-02-24,12583421
2022-02-25,12718555
2022-02-26,12887560
2022-02-27,13038551
2022-02-28,12547143
2022-03-01,12982315
2022-03-02,12952299
2022-03-03,12762669
2022-03-04,12314266
2022-03-05,11968434
2022-03-06,12314661
2022-03-07,11870616
2022-03-08,11734621
2022-03-09,11728659
2022-03-10,12342705
2022-03-11,11687381
2022-03-12,12247299
2022-03-13,12016465
2022-03-14,11512161
2022-03-15,11571669
2022-03-16,11894278
2022-03-17,11994058
2022-03-18,11960459
2022-03-19,12225304
2022-03-20,12427480
2022-03-21,12387497
2022-03-22,12518413
2022-03-23,12780531
2022-03-24,12701782
2022-03-25,12882164
2022-03-26,12773063
2022-03-27,13063672
2022-03-28,13420060
2022-03-29,13215631
2022-03-30,13163850
2022-03-31,13415572
2022-04-01,13163302
2022-04-02,13112899
2022-04-03,13019307
2022-04-04,13041095
2022-04-05,12994138
2022-04-06,12715026
2022-04-07,12021131
2022-04-08,12471821
2022-04-09,12094173
2022-04-10,12184342
2022-04-11,12015998
2022-04-12,11534746
2022-04-13,11697444
2022-04-14,11838389
2022-04-15,11957264
2022-04-16,12250898
2022-04-17,12286818
2022-04-18,12015111
2022-04-19,12233913
2022-04-20,12177832
2022-04-21,12130365
2022-04-22,11949272
2022-04-23,11951312
2022-04-24,11780018
2022-04-25,11566875
2022-04-26,11772518
2022-04-27,11341554
2022-04-28,11518326
2022-04-29,11613080
2022-04-30,11390035
2022-05-01,11217739
2022-05-02,11461224
2022-05-03,11315039
2022-05-04,11319370
2022-05-05,11813974
2022-05-06,10992062
2022-05-07,11069291
2022-05-08,10838751
2022-05-09,10730522
2022-05-10,9816149
2022-05-11,10363306
2022-05-12,9433545
2022-05-13,9194733
2022-05-14,9712602
2022-05-15,9827754
2022-05-16,10186628
2022-05-17,9921292
2022-05-18,10390179
2022-05-19,9673593
2022-05-20,9860513
2022-05-21,9640237
2022-05-22,9935158
2022-05-23,10115333
2022-05-24,9771302
2022-05-25,9883783
2022-05-26,9944351
2022-05-27,9540955
2022-05-28,9431238
2022-05-29,9391299
2022-05-30,9839442
2022-05-31,10250314
2022-06-01,10550200
2022-06-02,9938959
2022-06-03,10294398
2022-06-04,10357240
2022-06-05,10055051
2022-06-06,10144571
2022-06-07,9958950
2022-06-08,10044669
2022-06-09,10045600
2022-06-10,9911842
2022-06-11,9741710
2022-06-12,9380616
2022-06-13,9081141
2022-06-14,8385925
2022-06-15,8800280
2022-06-16,9166681
2022-06-17,8659483
2022-06-18,8744478
2022-06-19,8658322
2022-06-20,8842381
2022-06-21,8768034
2022-06-22,8775653
2022-06-23,8816042
2022-06-24,9029106
2022-06-25,9401447
2022-06-26,9315855
2022-06-27,9050803
2022-06-28,8952471
2022-06-29,8723232
2022-06-30,8476814
2022-07-01,8584029
2022-07-02,8432288
2022-07-03,8371243
2022-07-04,8404590
2022-07-05,8522109
2022-07-06,8410304
2022-07-07,8454042
2022-07-08,8627042
2022-07-09,8587198
2022-07-10,8495956
2022-07-11,8231944
2022-07-12,8004654
2022-07-13,7931955
2022-07-14,8108327
2022-07-15,8150549
2022-07-16,8165767
2022-07-17,8330300
2022-07-18,8242899
2022-07-19,8480770
2022-07-20,8685894
2022-07-21,8376490
2022-07-22,8426134
2022-07-23,8364965
2022-07-24,8381203
2022-07-25,8364365
2022-07-26,8108508
2022-07-27,8080506
2022-07-28,8347083
2022-07-29,8631335
2022-07-30,8632769
2022-07-31,8734958
2022-08-01,8677548
2022-08-02,8680321
2022-08-03,8454382
2022-08-04,8494196
2022-08-05,8438646
2022-08-06,8622706
2022-08-07,8690441
2022-08-08,8818482
2022-08-09,8965815
2022-08-10,8609715
2022-08-11,8876781
2022-08-12,8796771
